NIS;CATEGORIA;TIPO;RUBRO;DENOMINACION;PROVINCIA;PARTIDO;LOCALIDAD;CALLE;NUMERO;TITULAR;DDN;TELEFONO1;FAX;AREA;ZONA;NIS DEPENDENCIA;NOMBRE DEPENDENCIA;REGION;CATEGORIA DE SUCURSAL;EN RED;LIQUIDACION;EXENTO;DIVISION;SOCIEDAD;ALMACEN;CENTRO DE BENEFICIO;OFICINA DE CARGA DE CCT/ADMIN;CENTRO DE COSTO COMERCIAL;CENTRO DE COSTO COMERCIAL CORPORATIVO;CENTRO DE COSTO ELECTORAL;CENTRO DE COSTO GESTION DE RED;CENTRO DE COSTO OPERACIONES;CENTRO DE COSTO OPERATIVO;CENTRO DE COSTO RRHH;CENTRO DE COSTO SEGURIDAD;CENTRO DE COSTO ADMINISTRCION;CENTRO DE COSTO ADMISION;CENTRO DE COSTO CTP;CENTRO DE COSTO CTT;CENTRO DE COSTO TRANSPORTE;CENTRO DE COSTO LOGISTICA;Punto de Venta AUTO/AUTO;Punto de Venta CUENTA CORRIENTE;Punto de Venta MANUAL;Punto de Venta MANUAL/AUTO;Punto de Venta PLANTA MONTE GRANDE;Punto de Venta VIRTUAL;Punto de venta AUTO/AUTO;Punto de venta TERMINAL CARGA SAP;PAQAR_ADMISION;PAQAR_ENTREGA
A0000 ;SUCURSAL                      ;AUTOMATIZADA;SIN RUBRO ( SUCURSALES );SALTA;SALTA               ;CAPITAL                       ;SALTA;DEAN FUNES GREGORIO                                                                         ;160;ROBERTO FELIX CEFERINO AGUIRRE;387;"421-4741;421-2643;431-0567";;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P010;COAR;P010;9171747010;;71017010;;;;;;;;;;;;;;2442;;;714;;;;;X;X
A0006 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );AGUARAY;SALTA               ;GENERAL JOSE DE SAN MARTIN    ;AGUARAY;GUEMES GENERAL MARTIN MIGUEL DE                                                             ;99;GARZON, MARIA ALEJANDRA;3873;461419;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P103;COAR;P103;9171701103;;71017103;;;;;;;;;;;;;;;;715;;;;;;X;X
A0007 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );APOLINARIO SARAVIA;SALTA               ;ANTA                          ;APOLINARIO SARAVIA;PEYROTTI GENERAL JUAN B                                                                     ;100;GUEVARA, CARLOS DANIEL;3877;493006;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P104;COAR;P104;9171704104;;71017104;;;;;;;;;;;;;;;;716;;;;;;X;X
A0008 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CACHI;SALTA               ;CACHI                         ;CACHI;GUEMES GENERAL MARTIN MIGUEL DE                                                             ;102;Miguel Mamani;3868;491131;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P111;COAR;P111;9171705111;;71017111;;;;;;;;;;;;;;;;717;;;;;;X;X
A0009 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CAFAYATE;SALTA               ;CAFAYATE                      ;CAFAYATE;GUEMES                                                                                      ;197;MOYA, RENE WALBERTO;3868;422077;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P112;COAR;P112;9171706112;;71017112;;;;;;;;;;;;;;;;718;;;;;;X;X
A0011 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );AGENCIA CAMPO QUIJANO;SALTA               ;ROSARIO DE LERMA              ;CAMPO QUIJANO;9 DE JULIO                                                                                  ;601;DOMINGUEZ, HERNAN GUSTAVO;387;4904743;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P113;COAR;P113;9171707113;;71017113;;;;;;;;;;;;;;;;816;;;;;;X;X
A0013 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CERRILLOS;SALTA               ;CERRILLOS                     ;CERRILLOS;AMEGHINO FLORENTINO                                                                         ;215;Jorge Guaymas;387;4902909;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P115;COAR;P115;9171709115;;71017115;;;;;;;;;;;;;;;;720;;;;;;X;X
A0014 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );CHICOANA;SALTA               ;CHICOANA                      ;CHICOANA;MORILLO DOCTOR ADOLFO                                                                       ;195;BRAVO, ROLANDO;387;4907932;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;B;SI;NO;NO;P116;COAR;P116;9171710116;;71017116;;;;;;;;;;;;;;;;721;;;;;;X;X
A0015 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );COLONIA SANTA ROSA;SALTA               ;ORAN                          ;COLONIA SANTA ROSA;SAN MARTIN                                                                                  ;318;Crisanta Vallejos;3878;494071;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P117;COAR;P117;9171711117;;71017117;;;;;;;;;;;;;;;;722;;;;;;X;X
A0016 ;SUCURSAL                      ;NO AUTOMATIZADA;SIN RUBRO ( SUCURSALES );EL CARRIL;SALTA               ;CHICOANA                      ;EL CARRIL;D ANDREA LUCIO                                                                              ;100;YANEZ SANCHEZ, PABLO;387;4908375;;CUYO - NOA                    ;ZONA 8;;;CUYO - NOA                    ;C;SI;NO;NO;P121;COAR;P121;9171714121;;71017121;;;;;;;;;;;;;;;;723;;;;;;X;X
